0---{2951: 1, 2952: 1}
167---{2951: 1, 2952: 1}
174---{2951: 1, 2952: 1}
2009---{2951: 1, 2952: 1}
2011---{2951: 1, 2952: 1}
25---{2951: 1, 2952: 1}
a---{2951: 10, 2952: 10}
academ---{2951: 1, 2952: 1}
access---{2951: 1, 2952: 1}
acknowledg---{2951: 1, 2952: 1}
addit---{2951: 1, 2952: 1}
align---{2951: 4, 2952: 4}
alignmentmultiz28way---{2951: 1, 2952: 1}
all---{2951: 2, 2952: 2}
allow---{2951: 3, 2952: 3}
and---{2951: 20, 2952: 20}
are---{2951: 2, 2952: 2}
at---{2951: 2, 2952: 2}
avail---{2951: 4, 2952: 4}
back---{2951: 3, 2952: 3}
baldi---{2951: 2, 2952: 2}
bayesian---{2951: 2, 2952: 2}
bbl---{2951: 8, 2952: 8}
bed---{2951: 3, 2952: 3}
bind---{2951: 7, 2952: 7}
bioinformat---{2951: 2, 2952: 2}
bl---{2951: 7, 2952: 7}
bmc---{2951: 1, 2952: 1}
bp---{2951: 4, 2952: 4}
branch---{2951: 2, 2952: 2}
browser---{2951: 4, 2952: 4}
build---{2951: 2, 2952: 2}
buildhg18hg19mm9dm3saccer2ce6---{2951: 1, 2952: 1}
by---{2951: 2, 2952: 2}
california---{2951: 1, 2952: 1}
can---{2951: 1, 2952: 1}
candid---{2951: 2, 2952: 2}
case---{2951: 1, 2952: 1}
chipseq---{2951: 1, 2952: 1}
chromosom---{2951: 1, 2952: 1}
cid---{2951: 3, 2952: 3}
cite---{2951: 2, 2952: 2}
click---{2951: 9, 2952: 9}
closest---{2951: 2, 2952: 2}
code---{2951: 3, 2952: 3}
commerci---{2951: 1, 2952: 1}
compar---{2951: 1, 2952: 1}
comprehens---{2951: 1, 2952: 1}
comput---{2951: 1, 2952: 1}
consensu---{2951: 1, 2952: 1}
conserv---{2951: 3, 2952: 3}
contact---{2951: 1, 2952: 1}
copyright---{2951: 1, 2952: 1}
criteria---{2951: 1, 2952: 1}
csv---{2951: 3, 2952: 3}
daili---{2951: 1, 2952: 1}
data---{2951: 2, 2952: 2}
databas---{2951: 2, 2952: 2}
descript---{2951: 1, 2952: 1}
develop---{2951: 1, 2952: 1}
directli---{2951: 1, 2952: 1}
discoveri---{2951: 3, 2952: 3}
distanc---{2951: 6, 2952: 6}
document---{2951: 1, 2952: 1}
download---{2951: 1, 2952: 1}
downstream---{2951: 2, 2952: 2}
edu---{2951: 1, 2952: 1}
element---{2951: 2, 2952: 2}
encod---{2951: 1, 2952: 1}
enter---{2951: 1, 2952: 1}
export---{2951: 4, 2952: 4}
f---{2951: 1, 2952: 1}
factor---{2951: 4, 2952: 4}
fals---{2951: 3, 2952: 3}
fdr---{2951: 7, 2952: 7}
file---{2951: 1, 2952: 1}
filter---{2951: 6, 2952: 6}
for---{2951: 8, 2952: 8}
format---{2951: 1, 2952: 1}
foundat---{2951: 1, 2952: 1}
freeli---{2951: 1, 2952: 1}
from---{2951: 3, 2952: 3}
function---{2951: 4, 2952: 4}
fund---{2951: 1, 2952: 1}
gene---{2951: 9, 2952: 9}
genom---{2951: 7, 2952: 7}
get---{2951: 1, 2952: 1}
gff3---{2951: 3, 2952: 3}
health---{2951: 1, 2952: 1}
here---{2951: 1, 2952: 1}
hg19---{2951: 1, 2952: 1}
hg38---{2951: 1, 2952: 1}
home---{2951: 1, 2952: 1}
human---{2951: 2, 2952: 2}
i---{2951: 1, 2952: 1}
ic---{2951: 2, 2952: 2}
id---{2951: 5, 2952: 5}
if---{2951: 1, 2952: 1}
igb---{2951: 1, 2952: 1}
in---{2951: 5, 2952: 5}
includ---{2951: 3, 2952: 3}
institut---{2951: 1, 2952: 1}
integr---{2951: 1, 2952: 1}
irvin---{2951: 1, 2952: 1}
is---{2951: 3, 2952: 3}
it---{2951: 5, 2952: 5}
kenneth---{2951: 1, 2952: 1}
length---{2951: 4, 2952: 4}
licens---{2951: 1, 2952: 1}
list---{2951: 3, 2952: 3}
locat---{2951: 5, 2952: 5}
loci---{2951: 1, 2952: 1}
logo---{2951: 2, 2952: 2}
m---{2951: 2, 2952: 2}
